Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Custom Reports,Chrome 144.0.7559.110,,,03-02-2026 08:38:12,03-02-2026 08:44:23,6m - 10.553s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Login_Page/Login,Chrome 144.0.7559.110,Login,,03-02-2026 08:38:13,03-02-2026 08:38:23,10.336s,PASSED
"DATA BINDING - {""password"":""tsL9urF6O/APwsPS+50KRA\u003d\u003d"",""userName"":""tsL9urF6O/D/xURRxzj/8w\u003d\u003d""}",,,,,,,
"openBrowser("""")",Chrome 144.0.7559.110,,,03-02-2026 08:38:14,03-02-2026 08:38:16,2.662s,PASSED
maximizeWindow(),Chrome 144.0.7559.110,,,03-02-2026 08:38:16,03-02-2026 08:38:16,0.076s,PASSED
"waitForPageLoad(Delay, CONTINUE_ON_FAILURE)",Chrome 144.0.7559.110,,,03-02-2026 08:38:16,03-02-2026 08:38:17,0.356s,PASSED
navigateToUrl(URL),Chrome 144.0.7559.110,,,03-02-2026 08:38:17,03-02-2026 08:38:18,1.109s,PASSED
try,Chrome 144.0.7559.110,,,03-02-2026 08:38:18,03-02-2026 08:38:23,5.626s,PASSED
Finally,Chrome 144.0.7559.110,,,03-02-2026 08:38:23,03-02-2026 08:38:23,0.018s,PASSED
,,,,,,,
Test Cases/ProhanceWeb/Organization Settings/Work Time/Custom Reports/Custom Reports,Chrome 144.0.7559.110,,,03-02-2026 08:44:17,03-02-2026 08:44:23,5.645s,PASSED
ViewBy = null,Chrome 144.0.7559.110,,,03-02-2026 08:44:17,03-02-2026 08:44:17,0.001s,PASSED
UserType = null,Chrome 144.0.7559.110,,,03-02-2026 08:44:17,03-02-2026 08:44:17,0.001s,PASSED
"if (waitForElementPresent(findTestObject(""Object Repository/Organization Settings/New Folder/Page_ProHance/a_WORK TIME""), Delay))",Chrome 144.0.7559.110,,,03-02-2026 08:44:17,03-02-2026 08:44:22,5.073s,WARNING
else,Chrome 144.0.7559.110,,,03-02-2026 08:44:22,03-02-2026 08:44:22,0.004s,PASSED
"chec = verifyElementChecked(findTestObject(""Object Repository/Organization Settings/Work Time/Custom Reports/Common/Chk_ Display Overall Data""), 2, OPTIONAL)",Chrome 144.0.7559.110,,,03-02-2026 08:44:22,03-02-2026 08:44:23,0.352s,WARNING
out.println(chec),Chrome 144.0.7559.110,,,03-02-2026 08:44:23,03-02-2026 08:44:23,0.003s,PASSED
